"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/media/0/additional_media_info/monetizable","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/large/faces/1/h","entities/media/0/features/large/faces/1/w","entities/media/0/features/large/faces/1/x","entities/media/0/features/large/faces/1/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/medium/faces/1/h","entities/media/0/features/medium/faces/1/w","entities/media/0/features/medium/faces/1/x","entities/media/0/features/medium/faces/1/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/orig/faces/1/h","entities/media/0/features/orig/faces/1/w","entities/media/0/features/orig/faces/1/x","entities/media/0/features/orig/faces/1/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/features/small/faces/1/h","entities/media/0/features/small/faces/1/w","entities/media/0/features/small/faces/1/x","entities/media/0/features/small/faces/1/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/duration_millis","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/media/0/video_info/variants/1/bitrate","entities/media/0/video_info/variants/1/content_type","entities/media/0/video_info/variants/1/url","entities/media/0/video_info/variants/2/bitrate","entities/media/0/video_info/variants/2/content_type","entities/media/0/video_info/variants/2/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","media/video/0/variants/1/bitrate","media/video/0/variants/1/content_type","media/video/0/variants/1/url","media/video/0/variants/2/bitrate","media/video/0/variants/2/content_type","media/video/0/variants/2/url","quotes","replies","retweets","status","text","views"
"false","false","somethin about fishin 
available on all platforms/ songwriter of kyledunnmusic's Hell on wheels
Verified @Spotify
married @LakeshiaMByrd","https://pbs.twimg.com/profile_images/877758339152838656/yv95pDJ__normal.jpg","Tim W. Byrd Official","3044848660","TimWByrdmusic","72718","0","1486021122089005058","Sat Jan 29 20:13:00 +0000 2022","Lol what ever keep pushing it ,I had covid sars 2 beat it no shots ,and kids .best bet beat it on your own or you will be taking these shots forever or until you die from them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1487519167599288324","en","18",,,,,,,,,,,,,,,,,,,"0","1","0","active","@CDCgov Lol what ever keep pushing it ,I had covid sars 2 beat it no shots ,and kids .best bet beat it on your own or you will be taking these shots forever or until you die from them.",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","David C","3015955559","1_davidc","15","0","1486021122089005058","Thu Feb 10 04:17:02 +0000 2022","Eh. They're safe-ish and effective-ish. Let's just say there's a reason that there's a provision to get time off if the shot makes you sick, and a reason why there's a protocol for testing positive after the vaccine. Neither is at all rare.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491627243596099584","en","17",,,,,,,,,,,,,,,,,,,"0","1","0","active","@CDCgov Eh. They're safe-ish and effective-ish. Let's just say there's a reason that there's a provision to get time off if the shot makes you sick, and a reason why there's a protocol for testing positive after the vaccine. Neither is at all rare.",
"false","false","no. i don't want no scrub","https://pbs.twimg.com/profile_images/1422533187654209536/H-WcFko2_normal.jpg","briguy","110217846","lilb1814","145","0","1486021122089005058","Tue Jan 25 18:24:16 +0000 2022","then why are they starting trials for a new omicron-specific vaccine?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486042248638722050","en","17",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov then why are they starting trials for a new omicron-specific vaccine?",
"false","false","Partner, Executive Vice President
Tri Town Commercial Advisors","https://pbs.twimg.com/profile_images/2027030832125284352/8cZXK9Z-_normal.jpg","Eric Szczepkowski","32860471","ezip13","380","0","1486021122089005058","Tue Jan 25 17:01:11 +0000 2022","Help me understand the logic.  The vaccine selling point is that it will reduce the chance of hospitalization.  Fine. But how does 1 person being vaccinated, have any effect on anyone else, and more importantly why does one need it to be able to go out and about?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486021343602786306","en","10",,,,,,,,,,,,,,,,,,,"0","2","0","active","@CDCgov Help me understand the logic.  The vaccine selling point is that it will reduce the chance of hospitalization.  Fine. But how does 1 person being vaccinated, have any effect on anyone else, and more importantly why does one need it to be able to go out and about?",
"false","false","","https://pbs.twimg.com/profile_images/947301261614891008/KA0IeawS_normal.jpg","Emily","151151463","jaxsandhaysmom","10","0","1486021122089005058","Tue Jan 25 17:46:41 +0000 2022","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486032791158484994","und","16",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov NO",
"false","true","The dream is free. The hustle is sold separately. HODLER🤚🏽💎✋🏽 #DogeArmy Do Only Good Everyday #JLab 👨🏽‍🔬 ((🤙🏽))","https://pbs.twimg.com/profile_images/1829533453236232192/nSlW69gq_normal.jpg","Kiko","1275898006299181059","Juan89263538","76","0","1486021122089005058","Tue Jan 25 17:02:54 +0000 2022","",,,,,,,,"pic.x.com/vg7X9uT3Ej","https://x.com/Juan89263538/status/1486021775662235658/photo/1","Confused No GIF","Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1486021769056198665","8","31","16_1486021769056198665","16_1486021769056198665","https://pbs.twimg.com/tweet_video_thumb/FJ9o7PkXoAkRhV2.jpg",,,,,,,,,,,,,,,,,,,,,"364","498","364","fit","498","364","fit","498","364","fit","498","150","crop","150","animated_gif","https://t.co/vg7X9uT3Ej","249","182",,"0","video/mp4","https://video.twimg.com/tweet_video/FJ9o7PkXoAkRhV2.mp4",,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486021775662235658","qme","12",,,"249","182",,"1486021769056198665","https://pbs.twimg.com/tweet_video_thumb/FJ9o7PkXoAkRhV2.jpg","364","498","0","video/mp4","https://video.twimg.com/tweet_video/FJ9o7PkXoAkRhV2.mp4",,,,,,,"0","0","0","active","@CDCgov https://t.co/vg7X9uT3Ej",
"false","true","#Jesus aka #Yeshua aka #Immanuel is my King 👑","https://pbs.twimg.com/profile_images/1378116183380140032/TM0SqVuK_normal.jpg","🥓Bits🥩Stacker🍳","997354025153712128","APOSTOL111111","1636","0","1486021122089005058","Tue Feb 08 12:33:11 +0000 2022","Crime against humanity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491027328528695299","en","9",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Crime against humanity",
"true","true","Love Dashuri BSW Spartan💚love🎵 Travelin Learning: Albanian🇦🇱🇽🇰& more about finances 💸self education~♡birthchild♡adoptee~ TBI warrior ❤️Duaje Veten❤️","https://pbs.twimg.com/profile_images/1869787133042405376/8ZKpYGMk_normal.jpg","Teelalove8","191330747","TeelaLove8","549","0","1486021122089005058","Wed Jan 26 03:07:57 +0000 2022","What about so many of the elderly passing away not long after they take the vaccine?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486174041161572353","en","10",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov What about so many of the elderly passing away not long after they take the vaccine?",
"false","false","me and my guitar","https://pbs.twimg.com/profile_images/1621612484019847168/lLhKu0JW_normal.jpg","Rdessoye98","2739811231","robert_dessoye","356","0","1486021122089005058","Thu Feb 10 05:11:28 +0000 2022","How did people ever believe something is 100% have they never took a science class or listened to anyone with intelligence, get the vaccine save front line workers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1491640941903552515","en","6",,,,,,,,,,,,,,,,,,,"0","13","0","active","@CDCgov How did people ever believe something is 100% have they never took a science class or listened to anyone with intelligence, get the vaccine save front line workers",
"false","false","","https://pbs.twimg.com/profile_images/1390480862597222403/5dZUj7ug_normal.jpg","AKRDH","1389645897835941890","kramer_RDH","109","0","1486021122089005058","Tue Jan 25 17:04:46 +0000 2022","BS! You know the truth!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1486022243889172488","en","6",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov BS! You know the truth!",
