"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/large/faces/1/h","entities/media/0/features/large/faces/1/w","entities/media/0/features/large/faces/1/x","entities/media/0/features/large/faces/1/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/medium/faces/1/h","entities/media/0/features/medium/faces/1/w","entities/media/0/features/medium/faces/1/x","entities/media/0/features/medium/faces/1/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/orig/faces/1/h","entities/media/0/features/orig/faces/1/w","entities/media/0/features/orig/faces/1/x","entities/media/0/features/orig/faces/1/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/features/small/faces/1/h","entities/media/0/features/small/faces/1/w","entities/media/0/features/small/faces/1/x","entities/media/0/features/small/faces/1/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","quotes","replies","retweets","status","text","views"
"false","false","Christian conservative. Loves God, America and Trump! Merica! 
Currently in Costa Rica following a calling from God.","https://pbs.twimg.com/profile_images/1337245814981275649/_SbLfHQA_normal.jpg","Brian Keene","571414385","KeeneBrian","157","0","1481333160218669056","Wed Jan 12 23:14:18 +0000 2022","Why are you promoting an experimental emergency use vaccine on children who are not at risk from Rona?
Crimes against humanity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481404197329383425","en","5",,,"0","0","1","active","@CDCgov Why are you promoting an experimental emergency use vaccine on children who are not at risk from Rona?
Crimes against humanity.",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","James Anders","1358090752807559171","janders5150","1","0","1481333160218669056","Thu Jan 13 14:03:23 +0000 2022","",,,,,,,,,,,,,"pic.x.com/zIaHovFZoE","https://x.com/janders5150/status/1481627942648176640/photo/1","Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1481627938915336195","16","39","3_1481627938915336195","3_1481627938915336195","https://pbs.twimg.com/media/FI_MwqxXwAMM0YL.jpg","403","720","0","297","700","700","10","0","700","614","53","0","700","350","185","0","700","720","0","0","700","720","700","fit","720","700","fit","720","661","fit","680","150","crop","150","photo","https://t.co/zIaHovFZoE",,,,,,"146569971","0","7","CDC","CDCgov","208120290","8","15","U.S. FDA","US_FDA",,,,,,"1481627942648176640","qme","2","1481627938915336195","https://pbs.twimg.com/media/FI_MwqxXwAMM0YL.jpg","0","0","0","active","@CDCgov @US_FDA https://t.co/zIaHovFZoE",
"false","false","61 years old, i live in Michigan","https://pbs.twimg.com/profile_images/1882982594955886592/AcvLlizv_normal.jpg","cindy ann","326140466","cindyann1228","419","0","1481333160218669056","Wed Jan 12 18:55:15 +0000 2022","Shame on the CDC for knowingly pushing a jab that can kill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481339007091056653","en","3",,,"0","0","0","active","@CDCgov Shame on the CDC for knowingly pushing a jab that can kill",
"false","false","millinmaking","https://pbs.twimg.com/profile_images/1461876560554774529/2R0tByed_normal.jpg","sam","944783924382879744","Ev3R357","127","0","1481333160218669056","Wed Jan 12 18:43:37 +0000 2022","#Covaxinapproval #Covaxin4Kids","8","24","Covaxinapproval","25","38","Covaxin4Kids",,,,,,,"pic.x.com/CfYs1hAJRI","https://x.com/sohanphl/status/1481336076362989569/photo/1","Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1481336072042917888","39","62","3_1481336072042917888","3_1481336072042917888","https://pbs.twimg.com/media/FI7DTx8XMAABOFZ.jpg","719","1284","0","559","1284","1284","0","276","1464","1284","0","186","1934","967","0","0","1934","1284","0","0","1934","1284","1934","fit","1284","1200","fit","797","680","fit","451","150","crop","150","photo","https://t.co/CfYs1hAJRI",,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481336076362989569","qme","3","1481336072042917888","https://pbs.twimg.com/media/FI7DTx8XMAABOFZ.jpg","0","0","0","active","@CDCgov #Covaxinapproval #Covaxin4Kids https://t.co/CfYs1hAJRI",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Ángel A","1453132270127222785","ngelA55249412","21","0","1481333160218669056","Thu Jan 13 16:48:05 +0000 2022","I think @CDCgov you are referring to COVAXIN vaccine! Cause mRNA doesn’t work on variants are at far from being safe! Disgusting 🤮 you recommending this for kids and teens knowing the heart conditions that can cause especially on young adults!!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","208120290","8","15","U.S. FDA","US_FDA","146569971","24","31","CDC","CDCgov","1481669392773656579","en","2",,,"0","0","0","active","@CDCgov @US_FDA I think @CDCgov you are referring to COVAXIN vaccine! Cause mRNA doesn’t work on variants are at far from being safe! Disgusting 🤮 you recommending this for kids and teens knowing the heart conditions that can cause especially on young adults!!!",
"false","false","Tailgate specialist.","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Southlot Champ","1115403668256448514","southlot","45","0","1481333160218669056","Wed Jan 12 18:57:43 +0000 2022","99.97% survive.

But as the cdc stated this weak, healthy kids only have a 70% chance of beating that 0.03% chance of death.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481339624635125762","en","1",,,"0","0","0","active","@CDCgov 99.97% survive.

But as the cdc stated this weak, healthy kids only have a 70% chance of beating that 0.03% chance of death.",
"false","false","","https://pbs.twimg.com/profile_images/1547957102810845184/2bV4Od9F_normal.jpg","gdawg","1384522880747294723","gdawg88072609","65","0","1481333160218669056","Thu Jan 13 14:02:26 +0000 2022","What about under 5? #IchooseCOVAXIN","36","51","IchooseCOVAXIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","208120290","8","15","U.S. FDA","US_FDA",,,,,,"1481627701874237448","en","1",,,"0","0","0","active","@CDCgov @US_FDA What about under 5? #IchooseCOVAXIN",
"false","false","","https://pbs.twimg.com/profile_images/822353797322113025/1VUXpx3d_normal.jpg","sir.V ant","3408298272","serVant277","39","0","1481333160218669056","Wed Jan 12 18:46:55 +0000 2022","#DefundTheCDC","8","21","DefundTheCDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481336909192478721","qme","2",,,"0","0","0","active","@CDCgov #DefundTheCDC",
"false","false","Happily Married","https://pbs.twimg.com/profile_images/1475271759251316747/zrA62QpJ_normal.jpg","Ginger Boudreaux","1475271558847467520","GingerBoudrea10","0","0","1481333160218669056","Thu Jan 13 22:19:00 +0000 2022","My Family an I will remain that way I don't care what Anyone say's",,,,,,,,,,,,,"pic.x.com/7MdUCdL0Kc","https://x.com/GingerBoudrea10/status/1481752670071316480/photo/1","Available","37","37","36","620",,,,,"37","37","36","620",,,,,"37","37","36","620",,,,,"32","32","31","548",,,,,"1481752667919720454","89","112","3_1481752667919720454","3_1481752667919720454","https://pbs.twimg.com/media/FJA-M2hXoAYdRPn.jpg","403","720","0","0","720","720","0","0","769","675","45","0","769","385","211","0","769","720","0","0","769","720","769","fit","720","769","fit","720","680","fit","637","150","crop","150","photo","https://t.co/7MdUCdL0Kc",,,,,,"146569971","0","7","CDC","CDCgov","176892371","8","21","Louisiana Department of Health","LADeptHealth",,,,,,"1481752670071316480","en","1","1481752667919720454","https://pbs.twimg.com/media/FJA-M2hXoAYdRPn.jpg","0","0","0","active","@CDCgov @LADeptHealth My Family an I will remain that way I don't care what Anyone say's https://t.co/7MdUCdL0Kc",
"false","false","","https://pbs.twimg.com/profile_images/1464645255651807237/5DKegLTD_normal.jpg","toxicTyrant","1464643493368844288","CrplAdam","1","0","1481333160218669056","Wed Jan 12 19:35:57 +0000 2022","Pfizer is probably going to kill your children…😒",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1481349247417073664","en","0",,,"0","0","0","active","@CDCgov Pfizer is probably going to kill your children…😒",
