"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","entities/user_mentions/3/id_str","entities/user_mentions/3/indices/0","entities/user_mentions/3/indices/1","entities/user_mentions/3/name","entities/user_mentions/3/screen_name","entities/user_mentions/4/id_str","entities/user_mentions/4/indices/0","entities/user_mentions/4/indices/1","entities/user_mentions/4/name","entities/user_mentions/4/screen_name","entities/user_mentions/5/id_str","entities/user_mentions/5/indices/0","entities/user_mentions/5/indices/1","entities/user_mentions/5/name","entities/user_mentions/5/screen_name","entities/user_mentions/6/id_str","entities/user_mentions/6/indices/0","entities/user_mentions/6/indices/1","entities/user_mentions/6/name","entities/user_mentions/6/screen_name","entities/user_mentions/7/id_str","entities/user_mentions/7/indices/0","entities/user_mentions/7/indices/1","entities/user_mentions/7/name","entities/user_mentions/7/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","quotes","replies","retweets","status","text","views"
"false","false","An opinionated person who enjoys family, art, wine, travel, football, and a good book.","https://pbs.twimg.com/profile_images/449372293790064641/eYjFcwzO_normal.jpeg","I. D. Bishop","2415198374","IDBishop","126","0","1495477114799366145","Mon Feb 21 17:37:43 +0000 2022","Stupidest post ever.  We know that for those with hearing impairments visual cues and lipreading are essential.  Dump the masks and let the hearing impaired have a better quality of life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495815006163980288","en","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov Stupidest post ever.  We know that for those with hearing impairments visual cues and lipreading are essential.  Dump the masks and let the hearing impaired have a better quality of life.",
"true","false","HCP, teacher, wife to HCP, Mom, Daughter, Sister. Sharing information and life.","https://pbs.twimg.com/profile_images/1667208035473735688/u-lzEKby_normal.jpg","Abi- normal🤣","50718576","askaweiss","476","0","1495477114799366145","Mon Feb 21 13:29:16 +0000 2022","Long term research has not been conducted, as required by the FDA for all other medications. How many lawsuits can you think of that occurred after extensive research by pharmaceuticals n then public release? Do not administer to kids -myocarditis 🤷‍♀️",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495752482475192330","en","1",,,,,,,,,,,,,"0","0","0","active","@CDCgov Long term research has not been conducted, as required by the FDA for all other medications. How many lawsuits can you think of that occurred after extensive research by pharmaceuticals n then public release? Do not administer to kids -myocarditis 🤷‍♀️",
"false","false","Nothing goes for nothing . A model ..Fashionista .. Business woman and an Entrepreneur 💯💯💯","https://pbs.twimg.com/profile_images/1495689476101836800/EdraycAZ_normal.jpg","Alexandra perez","1417538888214712328","Alexand43114282","23","0","1495477114799366145","Tue Feb 22 09:48:12 +0000 2022","We really need to stay safe 🙏🏾",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1496059237172133888","en","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov We really need to stay safe 🙏🏾",
"false","false","Best color 😍","https://pbs.twimg.com/profile_images/1618336601955770377/1sf24wtm_normal.jpg","ELENA SCOTT","1450531432187715587","Sungshi82223070","74","0","1495477114799366145","Mon Feb 21 03:30:03 +0000 2022","Hmm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495601685456207872","und","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov Hmm",
"false","false","Life comes and goes.. so do you","https://pbs.twimg.com/profile_images/1494904516554203140/Utg02gkq_normal.jpg","Maria Smith","1460716134953635845","MariaKi23333840","20","0","1495477114799366145","Mon Feb 21 15:28:44 +0000 2022","praying for you #American Sign Language","24","33","American",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495782550014414854","en","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov praying for you #American Sign Language",
"false","true","","https://pbs.twimg.com/profile_images/1475854010376728580/x-DSqWCp_normal.jpg","Herman Sapp","1465853873252454400","HermanSapp13","393","0","1495477114799366145","Mon Feb 21 13:47:35 +0000 2022","how can you escape the vaccine is safe and everybody should get it knowing that the vaccine is unsafe because the drug manufacturers and your own website you'll see all the  and y'all say it's unsafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495757092589912066","en","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov how can you escape the vaccine is safe and everybody should get it knowing that the vaccine is unsafe because the drug manufacturers and your own website you'll see all the  and y'all say it's unsafe",
"false","false","","https://pbs.twimg.com/profile_images/1427547202654777354/yat9blbD_normal.png","ramon torres","1427547072409055286","ramonto45471991","99","0","1495477114799366145","Wed Apr 06 07:29:47 +0000 2022","God.bles,you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1511607084860776451","en","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov God.bles,you.",
"false","false","This not the name I wanted. 🤷🏻‍♀️","https://pbs.twimg.com/profile_images/1473196422480551936/swx7iU6D_normal.jpg","Lisa Mae","1414637591132049413","LisaMae94783098","238","0","1495477114799366145","Fri Feb 25 01:00:00 +0000 2022","Leave our kids alone!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1497013478082580487","en","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov Leave our kids alone!",
"false","false","","https://pbs.twimg.com/profile_images/1824456099887484928/Sx-DTmyD_normal.jpg","reapy reap","1832452315","TheRealReap","171","0","1495477114799366145","Sun Feb 20 19:16:20 +0000 2022","Why?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495477439350415361","und","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov Why?",
"false","false","","https://pbs.twimg.com/profile_images/1451196171519619089/sF3vz888_normal.png","Kathy A","1451196020231004160","KathyA80002666","0","0","1495477114799366145","Sun Feb 20 21:31:04 +0000 2022","Using children for propaganda.  You are all shameless.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1495511343864164353","en","1",,,,,,,,,,,,,"0","1","0","active","@CDCgov Using children for propaganda.  You are all shameless.",
