"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","quotes","replies","retweets","status","text","views"
"false","true","","https://pbs.twimg.com/profile_images/1655783474790563847/Kyy8POSZ_normal.jpg","anonniccc","479989609","nicolepnw","498","0","1462905695376920589","Tue Nov 23 05:10:51 +0000 2021","Criminals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1463012144304168962","ca","3",,,,,,,,,,,,,"0","0","0","active","@CDCgov Criminals",
"false","false","🌊🌊#BLM, #LGBTQIA, #ModernaVaccinated, Dem, 🗳Biden/Harris, #RESIST, ProChoice, Atheist, Grad of Academy of Natural Savagery, Follows=FB Pre vetting🌊🌊,🇺🇦","https://pbs.twimg.com/profile_images/1655856190281199617/ZOQELKAv_normal.jpg","Donovan Rzu","392509494","SHARPIEofTheUSA","1312","0","1462905695376920589","Mon Nov 22 22:11:43 +0000 2021","Yup. Scheduled. Been vaxxed twice. It’s great.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","3218464527","8","21","PA Department of Health","PAHealthDept",,,,,,"1462906664693248002","en","3",,,,,,,,,,,,,"0","5","0","active","@CDCgov @PAHealthDept Yup. Scheduled. Been vaxxed twice. It’s great.",
"true","true","retired engineer","https://pbs.twimg.com/profile_images/1898469039191511040/EDCOO1pj_normal.jpg","Jack","771941362736459776","dechevaliere","993","0","1462905695376920589","Wed Nov 24 03:28:30 +0000 2021","Blow me.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1463348776433819652","en","2",,,,,,,,,,,,,"0","0","0","active","@CDCgov Blow me.",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Ron Christian","1462875523441303553","RonChri22431303","1","0","1462905695376920589","Tue Nov 23 04:19:20 +0000 2021","Oberfuhrer Fouchi gave us this virus, and now he pretends to be on our side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1462999179530104834","en","1",,,,,,,,,,,,,"0","0","0","active","@CDCgov Oberfuhrer Fouchi gave us this virus, and now he pretends to be on our side.",
"false","false","Misty’s mum","https://pbs.twimg.com/profile_images/1455498143936692241/nfaOrZ5G_normal.jpg","BelleVieEnRose","1247192950163021824","SchenleyWillia1","49","0","1462905695376920589","Sat Nov 27 14:32:20 +0000 2021","When will CDC advocate for the non-MRNA option Covaxin as an option? If I had known FDA would hide basis of “safe”EUA for 55 years I would not have had my son get vaccinated.  We need a choice to not expose kids to effects of MRNA &amp; not increase their rates of myocarditis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1464603000459210753","en","1",,,,,,,,,,,,,"0","0","0","active","@CDCgov When will CDC advocate for the non-MRNA option Covaxin as an option? If I had known FDA would hide basis of “safe”EUA for 55 years I would not have had my son get vaccinated.  We need a choice to not expose kids to effects of MRNA &amp; not increase their rates of myocarditis",
"false","false","***🏈🇮🇪🇮🇪🏈***🥅🏒🐻🐻🥅🏒***🏀🍀🍀🏀***⚾️🧦🧦⚾️***","https://pbs.twimg.com/profile_images/1899861183554887680/PrbnRqbh_normal.jpg","Tessie’s Maine Cousin","1440073145747075072","BOSisTitleTown1","132","0","1462905695376920589","Tue Nov 23 04:19:58 +0000 2021","Did your director seriously just use China as an example on what to do?  CHINA?!?   C H I N A.    Wowwww",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1462999338737709060","en","1",,,,,,,,,,,,,"0","0","0","active","@CDCgov Did your director seriously just use China as an example on what to do?  CHINA?!?   C H I N A.    Wowwww",
"true","true","https://t.co/UjKOS4tW47,Hobbyist,Vaccinate,SAG🦜 🐕 🐈","https://pbs.twimg.com/profile_images/1283940934598696960/xXVZQBrk_normal.jpg","Sonny Urbine 🙏","2738992689","urbine81","2249","0","1462905695376920589","Mon Nov 29 12:14:02 +0000 2021","👍💯❤💙🌎🇺🇸🙏👍⭐⭐⭐⭐⭐😎",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1465292969934827520","qme","1",,,,,,,,,,,,,"0","0","0","active","@CDCgov 👍💯❤💙🌎🇺🇸🙏👍⭐⭐⭐⭐⭐😎",
"false","false","Chemist - Berkeley Grad, Warrior, Trumpeter (brass instrument), Independent, Nyingma/Kagyu Buddhist;  wife is Soto Zen Buddhist;                  Go Cal Bears","https://pbs.twimg.com/profile_images/657577363861979136/_ih1vICC_normal.png","Cali Dreaming NaphiSoc ","1934787661","NaphiSoc","36758","0","1462905695376920589","Fri Nov 26 21:16:29 +0000 2021","say everyone 18+ **SHOULD** get one jfc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1464342318933168137","en","1",,,,,,,,,,,,,"0","0","0","active","@CDCgov say everyone 18+ **SHOULD** get one jfc",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Ron Christian","1462875523441303553","RonChri22431303","1","0","1462905695376920589","Tue Nov 23 04:22:42 +0000 2021","I got the vaccine because the CDC and all the Marxist politicians said it would protect me.  All it did was make it harder for me to tell when I had Covid, which made me even more dangerous to my daughter who has MS.  You people are liars, corporate shills for big pharma.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1463000028071415810","en","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov I got the vaccine because the CDC and all the Marxist politicians said it would protect me.  All it did was make it harder for me to tell when I had Covid, which made me even more dangerous to my daughter who has MS.  You people are liars, corporate shills for big pharma.",
"false","false","An Edison-type inventor, or system thinker from first principles.","https://pbs.twimg.com/profile_images/1364624890058444801/AohqnGzC_normal.jpg","Hengning Wu","1364619176040669188","HengningW","0","0","1462905695376920589","Mon Nov 29 19:25:06 +0000 2021","Countries with the best performance against covid-19 (population death rate &lt;20 per million) use either quarantine strategy or doing nothing strategy (voluntary reverse quarantine).",,,,,,,,,,"pic.x.com/qaUjGLx8qX","https://x.com/HengningW/status/1465401452503969794/photo/1",,"Available","1465401401924898817","193","216","3_1465401401924898817","3_1465401401924898817","https://pbs.twimg.com/media/FFYmz58X0AEazCq.jpg","752","1342","0","0","1342","1342","0","0","1530","1342","0","0","1736","868","0","0","1736","1342","0","0","1736","1342","1736","fit","1342","1200","fit","928","680","fit","526","150","crop","150","photo","https://t.co/qaUjGLx8qX",,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1465401452503969794","en","0","1465401401924898817","https://pbs.twimg.com/media/FFYmz58X0AEazCq.jpg",,,,,,,,,,,"0","0","0","active","@CDCgov Countries with the best performance against covid-19 (population death rate &lt;20 per million) use either quarantine strategy or doing nothing strategy (voluntary reverse quarantine). https://t.co/qaUjGLx8qX",
"false","true","Big mouth and not afraid to speak whatever is the truth","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Staphy","1325286276094947332","Staphy42845711","0","0","1462905695376920589","Mon Nov 29 13:58:00 +0000 2021","I am wondering why you have tightened your restrictions on most businesses but loosened the visitation guidelines on most vulnerable facilities such as nursing homes and other facilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1465319134464512002","en","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov I am wondering why you have tightened your restrictions on most businesses but loosened the visitation guidelines on most vulnerable facilities such as nursing homes and other facilities.",
"false","false","dreamer","https://pbs.twimg.com/profile_images/1341830050920980482/n4UKAjaJ_normal.jpg","Saeid","1341829740060139523","Saeid11544709","1","0","1462905695376920589","Sun Nov 28 16:20:55 +0000 2021","What about sinopharm vaccine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1464992712181129220","en","0",,,,,,,,,,,,,"0","0","0","active","@CDCgov What about sinopharm vaccine",
