"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/hashtags/4/indices/0","entities/hashtags/4/indices/1","entities/hashtags/4/text","entities/hashtags/5/indices/0","entities/hashtags/5/indices/1","entities/hashtags/5/text","entities/hashtags/6/indices/0","entities/hashtags/6/indices/1","entities/hashtags/6/text","entities/hashtags/7/indices/0","entities/hashtags/7/indices/1","entities/hashtags/7/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/large/faces/1/h","entities/media/0/features/large/faces/1/w","entities/media/0/features/large/faces/1/x","entities/media/0/features/large/faces/1/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/medium/faces/1/h","entities/media/0/features/medium/faces/1/w","entities/media/0/features/medium/faces/1/x","entities/media/0/features/medium/faces/1/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/orig/faces/1/h","entities/media/0/features/orig/faces/1/w","entities/media/0/features/orig/faces/1/x","entities/media/0/features/orig/faces/1/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/features/small/faces/1/h","entities/media/0/features/small/faces/1/w","entities/media/0/features/small/faces/1/x","entities/media/0/features/small/faces/1/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","quotes","replies","retweets","status","text","views"
"false","false","Trump the criminal, No ONE is above the law. #againsttrumpism💯","https://pbs.twimg.com/profile_images/1230133354663759877/fb9AU-Jr_normal.jpg","YM@FLA","905452821180538884","Jasmine_ymfla","10","0","1428010778255368199","Wed Aug 18 18:38:30 +0000 2021","Let’s start with making Covid 19 vaccine a mandate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","19658936","8","21","CDC Emergency","CDCemergency","1428063773231812608","en","2",,,,,,,,,,,,,"0","1","0","active","@CDCgov @CDCemergency Let’s start with making Covid 19 vaccine a mandate",
"false","false","https://t.co/cjBvoMreT6","https://pbs.twimg.com/profile_images/1471928902616502278/Xf43Srth_normal.jpg","BABYCAKES","1349778592562114561","Tennill03336326","98","0","1428010778255368199","Wed Aug 18 19:08:32 +0000 2021","The VACCINE  Does not work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428071332613435397","en","2",,,,,,,,,,,,,"0","0","0","active","@CDCgov The VACCINE  Does not work",
"false","false","","https://pbs.twimg.com/profile_images/1534916802194571265/zP9weeeP_normal.jpg","Liberal Dem For Ivermectin","3815869348","LindaBa123","25","0","1428010778255368199","Sat Aug 21 01:28:12 +0000 2021","In the name of all that is sane. Be weary! These vaccines are so risky. The spike proteins can go all over your body. Clots are common not rare. Auto-immune d/o, strokes, blindness, tinnitus, seizures. If you got away with it once, don’t try it again!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428891653050413061","en","2",,,,,,,,,,,,,"0","0","0","active","@CDCgov In the name of all that is sane. Be weary! These vaccines are so risky. The spike proteins can go all over your body. Clots are common not rare. Auto-immune d/o, strokes, blindness, tinnitus, seizures. If you got away with it once, don’t try it again!",
"false","false","“ When the people find that they can vote themselves money that will herald the end of the republic.” Benjamin Franklin","https://pbs.twimg.com/profile_images/1176495046989930496/0S_iJ-be_normal.jpg","Miss Padraigin","15418984","misspadraigin","316","0","1428010778255368199","Wed Aug 18 16:02:03 +0000 2021","""Stay ahead of the virus"" unless you got the #J&amp;J #JohnsonAndJohnson #vaccine in which case, who cares! What are you doing for those of us with suppressed immune systems who got J&amp;J based on info provided by you? #CDC #boostershot #BoosterShots #DeltaVariant #FDA","53","55","J","62","80","JohnsonAndJohnson","81","89","vaccine","229","233","CDC","234","246","boostershot","247","260","BoosterShots","261","274","DeltaVariant","275","279","FDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428024401971273732","en","2",,,,,,,,,,,,,"0","0","0","active","@CDCgov ""Stay ahead of the virus"" unless you got the #J&amp;J #JohnsonAndJohnson #vaccine in which case, who cares! What are you doing for those of us with suppressed immune systems who got J&amp;J based on info provided by you? #CDC #boostershot #BoosterShots #DeltaVariant #FDA",
"false","false","","https://pbs.twimg.com/profile_images/1682777766184493057/xTBerEwZ_normal.jpg","David","25070923","ATCER81","177","0","1428010778255368199","Wed Aug 18 18:37:32 +0000 2021","6 months. Only six months.  That is not a vaccine.  What a laughable regime.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","36480720","8","21","Clark County WA_PH","ClarkCoWA_PH","1428063530012446722","en","2",,,,,,,,,,,,,"0","0","0","active","@CDCgov @ClarkCoWA_PH 6 months. Only six months.  That is not a vaccine.  What a laughable regime.",
"false","false","Basically the cardlady","https://pbs.twimg.com/profile_images/1387284208314294273/bZ809WUW_normal.jpg","408Marin","1353205617393946624","408JakoMarin","4","0","1428010778255368199","Thu Aug 19 01:35:30 +0000 2021","Do your studies before you make any announcements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428168713732198404","en","1",,,,,,,,,,,,,"0","0","0","active","@CDCgov Do your studies before you make any announcements.",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Carmelita","1206648605978873858","Carmeli76403871","8","0","1428010778255368199","Wed Aug 18 21:58:16 +0000 2021","The first 2 were great!! This one will also work!! Liars!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428114048638406661","en","1",,,,,,,,,,,,,"0","0","0","active","@CDCgov The first 2 were great!! This one will also work!! Liars!!",
"false","false","Meme machine, writing and editing coach, messaging guru, and (depending on when you ask) syndicated columnist and TV commentator.","https://pbs.twimg.com/profile_images/1434950921314766855/zNuE3GWB_normal.jpg","Rick Horowitz","58194317","Rick_Horowitz","635","0","1428010778255368199","Wed Aug 18 19:53:15 +0000 2021","Boosting the booster shot...",,,,,,,,,,,,,,,,,,,,,,,,,"pic.x.com/rTyOnMKFpq","https://x.com/Rick_Horowitz/status/1428082583557005315/photo/1",,"Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1428082575055200258","37","60","3_1428082575055200258","3_1428082575055200258","https://pbs.twimg.com/media/E9GRiSQXIAIWDB5.jpg","1147","2048","0","92","1365","1365","342","0","1365","1197","426","0","1365","683","683","0","1365","2048","0","0","1365","2048","1365","fit","2048","800","fit","1200","453","fit","680","150","crop","150","photo","https://t.co/rTyOnMKFpq",,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428082583557005315","en","1","1428082575055200258","https://pbs.twimg.com/media/E9GRiSQXIAIWDB5.jpg",,,,,,,,,,,"0","0","0","active","@CDCgov Boosting the booster shot... https://t.co/rTyOnMKFpq",
"false","false","","https://pbs.twimg.com/profile_images/1277464264463323138/jy1X-s1y_normal.jpg","R.O.C.","370350062","Raque1211","119","0","1428010778255368199","Wed Aug 18 16:37:43 +0000 2021","I doubt it happens in Florida any time soon since the Governor is benefitingfrom Regeneron. #DeathSantis","100","112","DeathSantis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1428033377140084737","en","1",,,,,,,,,,,,,"0","0","0","active","@CDCgov I doubt it happens in Florida any time soon since the Governor is benefitingfrom Regeneron. #DeathSantis",
"true","true","business systems analyst. asset based finance. photographer.  spirited data junkie. mom x2
views=own","https://pbs.twimg.com/profile_images/455593899965579264/NQoZMd4I_normal.jpeg","Meryn","300078224","MissMeryn","417","0","1428010778255368199","Sun Aug 22 03:21:48 +0000 2021","Where can I find the autopsy data on deceased patients  from the pfizer trial? Or autopsy data on deaths from breakthrough infection? Can't find it anywhere?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1429282632332976134","en","1",,,,,,,,,,,,,"0","0","0","active","@CDCgov Where can I find the autopsy data on deceased patients  from the pfizer trial? Or autopsy data on deaths from breakthrough infection? Can't find it anywhere?",
