"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/media/0/additional_media_info/monetizable","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/large/faces/1/h","entities/media/0/features/large/faces/1/w","entities/media/0/features/large/faces/1/x","entities/media/0/features/large/faces/1/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/medium/faces/1/h","entities/media/0/features/medium/faces/1/w","entities/media/0/features/medium/faces/1/x","entities/media/0/features/medium/faces/1/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/orig/faces/1/h","entities/media/0/features/orig/faces/1/w","entities/media/0/features/orig/faces/1/x","entities/media/0/features/orig/faces/1/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/features/small/faces/1/h","entities/media/0/features/small/faces/1/w","entities/media/0/features/small/faces/1/x","entities/media/0/features/small/faces/1/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/duration_millis","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/media/0/video_info/variants/1/bitrate","entities/media/0/video_info/variants/1/content_type","entities/media/0/video_info/variants/1/url","entities/media/0/video_info/variants/2/bitrate","entities/media/0/video_info/variants/2/content_type","entities/media/0/video_info/variants/2/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","media/video/0/variants/1/bitrate","media/video/0/variants/1/content_type","media/video/0/variants/1/url","media/video/0/variants/2/bitrate","media/video/0/variants/2/content_type","media/video/0/variants/2/url","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"false","false","New Yorker living in Chi.
Don't eat animals.
Trump is a murderer.
Stephen Miller should go straight to Hell.","https://pbs.twimg.com/profile_images/898189844689694720/DuMpE-ZY_normal.jpg","Deb Dav","499835960","mrsdebda","427","0","1475587321277956096","Mon Dec 27 22:25:33 +0000 2021","One dose meaningless.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475593721899106309","en","2",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","1","0","active","@CDCgov One dose meaningless.",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",".","809095523697364994","manoweambis","9","0","1475587321277956096","Tue Dec 28 03:36:53 +0000 2021","How many caught covid this week after their boosters?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475672072470904843","en","2",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","0","0","active","@CDCgov How many caught covid this week after their boosters?",
"false","false","claro que sí","https://pbs.twimg.com/profile_images/1307508200497967104/Kjv7qnwz_normal.jpg","jac☕️","1702138405","ReelAverageJac","195","0","1475587321277956096","Mon Dec 27 22:06:31 +0000 2021","👏🏼 still work to do!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475588934981799941","en","1",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","0","0","active","@CDCgov 👏🏼 still work to do!",
"false","true","WHRPC _ SAVE NATION , SAVE LIVING BEINGS, SAVE HUMAN, SAVE NATURE , SAVE RELIGION, CARE HUMANITY.","https://pbs.twimg.com/profile_images/1555862134977855489/NJILbR4o_normal.jpg","Pragnesh","700614061340266496","PragneshMehta4","446","0","1475587321277956096","Mon Dec 27 22:16:19 +0000 2021","Why? Either Overstocks in godown or vax.expirry is nearly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475591400569786368","en","1",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","0","0","active","@CDCgov Why? Either Overstocks in godown or vax.expirry is nearly",
"false","true","","https://pbs.twimg.com/profile_images/1489683137340661762/gVZ1X8LZ_normal.jpg","Art Angus","959270073251774464","ArtAngus1","72","0","1475587321277956096","Mon Dec 27 22:18:51 +0000 2021","How many of those are catching infection?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475592038716379137","en","1",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","0","0","active","@CDCgov How many of those are catching infection?",
"false","false","🏴‍☠️💙🌊🦋 #GBabyLoves *~*ღ #musicbubble ♪♬  🎼🎹
#saveWOT  🔥💥✨️💫🌙🦋 #BeachBubble 🌴 positive vibes ツ Healing hUgS *~*  *^i^* ツ 😎  #ChiefsKingdom ❤️💛","https://pbs.twimg.com/profile_images/1987608106986065920/l0AE-JC7_normal.jpg","Aes se DiDi #saveWOT ღ♬♪♫ツ🦋🏳️‍🌈","634909239","IamtheDiDi","2015","0","1475587321277956096","Mon Dec 27 22:30:02 +0000 2021","is this in the US only? worldwide?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475594850213011458","en","1",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","0","0","active","@CDCgov is this in the US only? worldwide?",
"false","false","","https://pbs.twimg.com/profile_images/1261735344988393473/YMAqg4gB_normal.jpg","crustrader","268764693","crustrader","182","0","1475587321277956096","Mon Dec 27 22:12:53 +0000 2021","Why?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475590535935049733","und","1",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","0","0","active","@CDCgov Why?",
"false","false","","https://pbs.twimg.com/profile_images/1474761538560876550/B-DDHtPy_normal.jpg","Hoorin (Modiji ka parivar)","1389848067545866242","Goutham35126382","7","0","1475587321277956096","Tue Dec 28 16:58:33 +0000 2021","Vaccine is scam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475873817780056072","en","0",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","0","0","active","@CDCgov Vaccine is scam",
"false","true","","https://pbs.twimg.com/profile_images/1319387348224806912/F0DeWJtZ_normal.jpg","El Erre Ache","1319386841271840768","ElErreAche","39","0","1475587321277956096","Mon Dec 27 23:36:18 +0000 2021","America needs you! Get Vaxxed 🇺🇸",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1475611529802227715","en","0",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","0","0","active","@CDCgov America needs you! Get Vaxxed 🇺🇸",
"false","true","photographer, photojournalist, activist, anti imperialist, abolitionist, decolonization. #freepalestine
🏳️‍⚧️☸️ Ⓐ☭ 🇵🇸🔻
https://t.co/mBqVayE9Dd","https://pbs.twimg.com/profile_images/1785307831266074624/U5VHcGd7_normal.jpg","Lita Xú Líng Kelley","185850587","LitaKelley","606","0","1475587321277956096","Mon Dec 27 23:39:26 +0000 2021","@beverly_ma only has ONE location offering vaccine &amp; it's a 3 week wait for appointment.  I &amp; my child need 2nd pfizer and I have no car to get out of town.  Why is it so difficult to get a vaccine????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","89948622","8","19","City of Beverly","beverly_ma","1475612314791518211","en","0",,,,,,,,,,,,,,,,,,,"United States","US","Chandler, AZ","https://api.twitter.com/1.1/geo/id/52445186970bafb3.json","Chandler","city","0","0","0","active","@CDCgov @beverly_ma only has ONE location offering vaccine &amp; it's a 3 week wait for appointment.  I &amp; my child need 2nd pfizer and I have no car to get out of town.  Why is it so difficult to get a vaccine????",
