"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/large/faces/1/h","entities/media/0/features/large/faces/1/w","entities/media/0/features/large/faces/1/x","entities/media/0/features/large/faces/1/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/medium/faces/1/h","entities/media/0/features/medium/faces/1/w","entities/media/0/features/medium/faces/1/x","entities/media/0/features/medium/faces/1/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/orig/faces/1/h","entities/media/0/features/orig/faces/1/w","entities/media/0/features/orig/faces/1/x","entities/media/0/features/orig/faces/1/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/features/small/faces/1/h","entities/media/0/features/small/faces/1/w","entities/media/0/features/small/faces/1/x","entities/media/0/features/small/faces/1/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"true","false","Came to help Tesla and Elon, stayed to watch the future being built. ᚨᚲ All of this has happened before, and all of this will happen again. ᛊᚠ ☩ So it goes..","https://pbs.twimg.com/profile_images/2032096104162922496/XK9-iNjn_normal.jpg","Goldfiinger ⚡️ᛇᛉ","1185493683153592320","Goldfiinger","2470","1","1414623345291714567","Mon Jul 12 18:10:30 +0000 2021","I hope one-day justice catches up with you. 

Children are not at risk. This is utter abuse to wrap small children’s faces with masks as they learn to interact. 

Criminal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1414648374553415685","en","388",,,,,,,,,,,,,,,,,,,"0","2","20","active","@CDCgov I hope one-day justice catches up with you. 

Children are not at risk. This is utter abuse to wrap small children’s faces with masks as they learn to interact. 

Criminal.",
"false","false","Analytical. Objectivist. Socratic. 
PhD student in History. History Master's graduate. 

Think for yourself, logic is there to be found.","https://pbs.twimg.com/profile_images/1521945518049480704/_cZ597nF_normal.jpg","Michael Schofield","44479963","M_J_Schofield","1190","0","1414623345291714567","Mon Jul 12 19:44:34 +0000 2021","Don't mask children. Taking away social interaction with the whole face is such a move away from our natural state of dealing with each other and children need to develop it all properly. Depriving natural expressions is a hideous price to push some deaths back a few months.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1414672049017065483","en","249",,,,,,,,,,,,,,,,,,,"0","3","12","active","@CDCgov Don't mask children. Taking away social interaction with the whole face is such a move away from our natural state of dealing with each other and children need to develop it all properly. Depriving natural expressions is a hideous price to push some deaths back a few months.",
"false","true","Mom of 4. Survivor of Winters of Severe Illness and Death 💀","https://pbs.twimg.com/profile_images/981650083312689153/4SZaCBk2_normal.jpg","Dana Hensley","15238081","DanaMarie262","1765","0","1414623345291714567","Mon Jul 12 17:46:43 +0000 2021","Do you know anything about language and child development?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1414642389520617477","en","247",,,,,,,,,,,,,,,,,,,"0","11","8","active","@CDCgov Do you know anything about language and child development?",
"true","true","Dad, husband, runner, linguist, classical liberal, lawyer. Polite online 🌈 Won 2012 Salmon Marathon 🇺🇸🇲🇽🇫🇷🇩🇪 En la vida y en la cancha #ChingaLaMigra","https://pbs.twimg.com/profile_images/1318551336963760132/4kBdZmYc_normal.jpg","John Fenton","36915846","jhfenton","1097","0","1414623345291714567","Mon Jul 12 18:04:36 +0000 2021","You should have stopped after the second sentence: Keep them home if sick.

The rest is unscientific fear-mongering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1414646892772970498","en","244",,,,,,,,,,,,,,,,,,,"0","3","7","active","@CDCgov You should have stopped after the second sentence: Keep them home if sick.

The rest is unscientific fear-mongering.",
"false","false","Dad, Husband, America First","https://pbs.twimg.com/profile_images/1456727361249030147/nAR7Iyjk_normal.jpg","All American","1035918790985428992","Trophy_Husband5","1456","0","1414623345291714567","Mon Jul 12 18:08:16 +0000 2021","Terrible advice.  No one needs a mask.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1414647813842128899","en","227",,,,,,,,,,,,,,,,,,,"0","1","4","active","@CDCgov Terrible advice.  No one needs a mask.",
"true","true","my Hermes is better then yours","https://pbs.twimg.com/profile_images/2028595772653289472/5tIXPseg_normal.jpg","drizzy8423","323310623","sheeptweetZ","2870","0","1414623345291714567","Mon Jul 12 17:56:02 +0000 2021","Reported for misinformation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1414644736942645253","en","200",,,,,,,,,,,,,,,,,,,"0","2","2","active","@CDCgov Reported for misinformation",
"false","true","","https://pbs.twimg.com/profile_images/1313087827014496256/-rIFrYbO_normal.jpg","Neil","554158405","NeilSmithers","242","0","1414623345291714567","Mon Jul 12 20:12:55 +0000 2021","Putting a muzzle on kids is child abuse. Leave them alone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1414679183574380550","en","192",,,,,,,,,,,,,,,,,,,"0","1","6","active","@CDCgov Putting a muzzle on kids is child abuse. Leave them alone.",
"false","true","90 minute livestream stand-up show on zoom New Year's Eve. Baltimore 1/2&3. 1/11 Lancaster, PA. Tickets https://t.co/vo7gNFUCDJ","https://pbs.twimg.com/profile_images/925263013925416960/lL9zaiJl_normal.jpg","Judah Friedlander","28744383","JudahWorldChamp","316758","0","1414623345291714567","Tue Jul 13 15:18:41 +0000 2021","Since it’s a virus that spreads through the air, why do you not recommend n95 masks which protect against airborne?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1414967525272657924","en","1",,,,,,,,,,,,,,,,,,,"0","1","0","active","@CDCgov Since it’s a virus that spreads through the air, why do you not recommend n95 masks which protect against airborne?",
"true","true","my Hermes is better then yours","https://pbs.twimg.com/profile_images/2028595772653289472/5tIXPseg_normal.jpg","drizzy8423","323310623","sheeptweetZ","2870","0","1414623345291714567","Mon Jul 12 17:54:39 +0000 2021","My kids will never wear a mask sorry Brodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1414644387519385601","en","177",,,,,,,,,,,,,,,,,,,"0","1","1","active","@CDCgov My kids will never wear a mask sorry Brodie",
"false","false","","https://pbs.twimg.com/profile_images/1680666888622288898/rU8jjVjG_normal.jpg","Brooks Boettner","42300470","BrookstheUmp","505","0","1414623345291714567","Mon Jul 12 18:28:46 +0000 2021","Kinda looks like child abuse to me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1414652974958366728","en","168",,,,,,,,,,,,,,,,,,,"0","1","4","active","@CDCgov Kinda looks like child abuse to me",
