"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/hashtags/4/indices/0","entities/hashtags/4/indices/1","entities/hashtags/4/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","entities/user_mentions/3/id_str","entities/user_mentions/3/indices/0","entities/user_mentions/3/indices/1","entities/user_mentions/3/name","entities/user_mentions/3/screen_name","entities/user_mentions/4/id_str","entities/user_mentions/4/indices/0","entities/user_mentions/4/indices/1","entities/user_mentions/4/name","entities/user_mentions/4/screen_name","entities/user_mentions/5/id_str","entities/user_mentions/5/indices/0","entities/user_mentions/5/indices/1","entities/user_mentions/5/name","entities/user_mentions/5/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"false","true","🏳️‍🌈♿️✊🏽👸🏻","https://pbs.twimg.com/profile_images/1324731393264541700/FOXZL72Y_normal.jpg","Angelita Gonzalez-Mroz","1236757913349259266","AngelitaMroz","14","0","1238841061277040640","Sat Mar 14 15:02:08 +0000 2020","Your report totally missed people who are immunocompromised, like me. Not to mention, urging the public to stay home should have happened weeks ago with plans in place for paid work leave if unable to work from home.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,"1238842856929976321","en","2",,,,,,,,,"0","1","0","active","@CDCgov Your report totally missed people who are immunocompromised, like me. Not to mention, urging the public to stay home should have happened weeks ago with plans in place for paid work leave if unable to work from home.",
"false","true","","https://pbs.twimg.com/profile_images/1347272202379550726/BbRyzzIW_normal.jpg","Numa Numa Dancer","759363423973105664","aliciakeystroke","23","0","1238841061277040640","Sun Mar 15 01:49:50 +0000 2020","@HealthyFla 2 new cases in Duval according to @ActionNewsJax Can we maybe shuffle some people around or put some of these smart young displaced college kids to work on getting info out as fast as possible?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","131546062","8","21","Rick Scott","SenRickScott","296814488","22","33","Florida Department of Health","HealthyFla","24432463","68","82","ActionNewsJax","ActionNewsJax",,,,,,,,,,,"1239005854751432704","en","0",,,,,,,,,"0","0","0","active","@CDCgov @SenRickScott @HealthyFla 2 new cases in Duval according to @ActionNewsJax Can we maybe shuffle some people around or put some of these smart young displaced college kids to work on getting info out as fast as possible?",
"false","false","","https://pbs.twimg.com/profile_images/1289387170306940930/D9O_Cvkk_normal.jpg","Patricia DeJong","930428443","pkdejong","30","0","1238841061277040640","Sat Mar 14 15:25:24 +0000 2020","Please allow the bigger hospitals to do testing. We need more testing!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,"1238848714791432193","en","1",,,"United States","US","Wisconsin, USA","https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json","Wisconsin","admin","0","1","0","active","@CDCgov Please allow the bigger hospitals to do testing. We need more testing!",
"false","false","Retired and living in Raisin Township","https://pbs.twimg.com/profile_images/1235297999208710146/XU5ga1w9_normal.jpg","Lori Lyon","1235297728370008068","LoriLyon20","3","0","1238841061277040640","Sun Mar 15 22:50:03 +0000 2020","This includes many many people. Including myself. Take this very seriously",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,"1239323002468212748","en","0",,,"United States","US","Wisconsin, USA","https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json","Wisconsin","admin","0","0","0","active","@CDCgov This includes many many people. Including myself. Take this very seriously",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Jeffrey","1086335408324132864","Jeffrey98130493","5","0","1238841061277040640","Mon Mar 16 12:11:19 +0000 2020","Great wisdom for older adults and others vulnerable to death by this virus. Rethink children &amp; schools advice. Children will play with other children, in school or out. Still vulnerable to bring possiblity of death to grandparents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","9624742","8","18","Department of State","StateDept",,,,,,,,,,,,,,,,,,,,,"1239524646644572162","en","0",,,"United States","US","Wisconsin, USA","https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json","Wisconsin","admin","0","0","0","active","@CDCgov @StateDept Great wisdom for older adults and others vulnerable to death by this virus. Rethink children &amp; schools advice. Children will play with other children, in school or out. Still vulnerable to bring possiblity of death to grandparents.",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Jeffrey","1086335408324132864","Jeffrey98130493","5","0","1238841061277040640","Mon Mar 16 12:02:16 +0000 2020","Great wisdom here!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","9624742","8","18","Department of State","StateDept",,,,,,,,,,,,,,,,,,,,,"1239522368231485442","en","0",,,"United States","US","Wisconsin, USA","https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json","Wisconsin","admin","0","0","0","active","@CDCgov @StateDept Great wisdom here!",
"false","true","LA ILA HA ILLAL LA MUHAMMAD UR RASOOL ULLAH
SAL LAL LA HU ALAEHE WAALEE HE WAA SALLAM","https://pbs.twimg.com/profile_images/1233750561331261442/bUCvy0gk_normal.jpg","Pakistan","1233750352660488192","ALLAH786hu","394","0","1238841061277040640","Mon Mar 16 13:12:32 +0000 2020","ALLAH hu
Asslam o Alaykum
Come to Islam 
Read LA ILA Ha IlLAL hu Muhammad ur Rasool ULLAH Sal lal LA hu alahe waalhe wasallam these wording is the solution of corona viruses
Come Pakistan for preventing of destroying America 
And release Dr Afia before it too late release Dr afia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","9624742","8","18","Department of State","StateDept",,,,,,,,,,,,,,,,,,,,,"1239540052600016896","en","0",,,"United States","US","Wisconsin, USA","https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json","Wisconsin","admin","0","0","0","active","@CDCgov @StateDept ALLAH hu
Asslam o Alaykum
Come to Islam 
Read LA ILA Ha IlLAL hu Muhammad ur Rasool ULLAH Sal lal LA hu alahe waalhe wasallam these wording is the solution of corona viruses
Come Pakistan for preventing of destroying America 
And release Dr Afia before it too late release Dr afia",
"false","false","Department of Nutrition and Food Studies, George Mason University","https://pbs.twimg.com/profile_images/1238703406333800448/43hkKT_x_normal.jpg","Li Jiang","1062911289054453760","LiJiang23537264","4","0","1238841061277040640","Sat Mar 14 17:39:13 +0000 2020","What if they used hands to cover their mouth when cough, then touch things like door handles or carts? What they need is using masks to protect themselves and others.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,"1238882388349943809","en","0",,,"United States","US","Wisconsin, USA","https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json","Wisconsin","admin","0","0","0","active","@CDCgov What if they used hands to cover their mouth when cough, then touch things like door handles or carts? What they need is using masks to protect themselves and others.",
"false","true","So my question is who are u really? So many people want to be someone they aren’t just to feel loved or important. I’m just an everyday extraordinary woman. Me.","https://pbs.twimg.com/profile_images/1028694377995022336/G12gMtPP_normal.jpg","Ambrosia","84194580","Ambrosia727","236","0","1238841061277040640","Sun Mar 15 23:00:55 +0000 2020","Exactly what I was thinking! Thank you. I’m retweeting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","580226937","8","19","Tom Morgan","Tmsm107Tom",,,,,,,,,,,,,,,,,,,,,"1239325737053827076","en","0",,,"United States","US","Wisconsin, USA","https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json","Wisconsin","admin","0","0","0","active","@CDCgov @Tmsm107Tom Exactly what I was thinking! Thank you. I’m retweeting.",
"false","false","Societal engineer","https://pbs.twimg.com/profile_images/1755521372929867776/hc8wleKV_normal.jpg","Eddy Akpabio","2238840610","BAkpabio","61","0","1238841061277040640","Sat Mar 14 22:59:53 +0000 2020","You mean the world war III?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,,,,,,,,,,,"1238963086675107840","en","0",,,"United States","US","Wisconsin, USA","https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json","Wisconsin","admin","0","0","0","active","@CDCgov You mean the world war III?",
