"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"false","false","Klaus - Travel Nurse - All views are my own and do not reflect those of my employers","https://pbs.twimg.com/profile_images/1425417747064885255/xbzsKO2q_normal.jpg","The Dude Nurse™","884235729248931842","TheDudeRN","1741","0","1298728989796827137","Thu Aug 27 01:34:55 +0000 2020","WWDFD? (What Would Dr. Fauci Do?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1298796101752025088","en","6",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov WWDFD? (What Would Dr. Fauci Do?)",
"false","false","Update: Childless Cat Lady & Postmenopausal. F/U @jdvance","https://pbs.twimg.com/profile_images/1808620735432392704/mEYUmyf8_normal.jpg","dmorris 🏳‍🌈🟧 Childless Cat Lady #HarrisWalz2024","429333544","akgirl37","427","0","1298728989796827137","Wed Aug 26 22:26:22 +0000 2020","Americans have always counted on the CDC to give us expert advice when needed, we need you NOW desperately to give us the truth.  Anyone with common sense knows you need to test asymptomatic people so as a spreader than can be tract.  Dereliction of Duty.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1298748651129303040","en","6",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Americans have always counted on the CDC to give us expert advice when needed, we need you NOW desperately to give us the truth.  Anyone with common sense knows you need to test asymptomatic people so as a spreader than can be tract.  Dereliction of Duty.",
"false","false","Proud to be a Never Trumper. Vote Blue!  Our lives depend on it.","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Bash","1057785481302327297","jeffrobin1comc1","140","0","1298728989796827137","Wed Aug 26 21:40:17 +0000 2020","The CDC is not the place to go to for accurate information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1298737054793248770","en","5",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov The CDC is not the place to go to for accurate information.",
"false","false","Following advances in biotech and gene therapy, and Not an expert. Any tweets or re-tweets are not investment advice. Do your own due-diligence. #resistance","https://pbs.twimg.com/profile_images/429657848/021218_1827_0022_lsls_op_611x406_photo_for_scheduler_page_normal.jpg","Matt","27020632","HopesBiotech","217","0","1298728989796827137","Wed Aug 26 21:12:46 +0000 2020","Then we should be tested.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1298730129896738816","en","5",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Then we should be tested.",
"false","true","Just trying to keep on keeping on. Let's help each other live our best lives. As per Trump, ""Bad things happen in Philadelphia"". Wife & Mother.
Go Birds!","https://pbs.twimg.com/profile_images/1373268708714557445/PgotNMpG_normal.jpg","Karen duffy","797263257249730560","Ksdufty215","3123","0","1298728989796827137","Thu Aug 27 02:18:45 +0000 2020","Going back to work tomorrow at a University &amp; you are actually telling the American people if you are around someone who is Covid positive not to be tested? Oh did I mention I work at a SCIENCE University and that goes against all SCIENCE. NO credibility the @cdc is now political",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","1532281","271","275","This is not the CDC","cdc",,,,,,"1298807130615676928","en","4",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Going back to work tomorrow at a University &amp; you are actually telling the American people if you are around someone who is Covid positive not to be tested? Oh did I mention I work at a SCIENCE University and that goes against all SCIENCE. NO credibility the @cdc is now political",
"false","false","Listen, Do you smell something?","https://pbs.twimg.com/profile_images/1161445953158688768/3tm22X9-_normal.jpg","Mr. Peabody","19632275","markslaight1","372","0","1298728989796827137","Wed Aug 26 23:36:18 +0000 2020","TCDC.  Trump Center for Disease Control.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1298766251456630784","ro","4",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov TCDC.  Trump Center for Disease Control.",
"false","false","guess this is $8chan now

he/him","https://pbs.twimg.com/profile_images/643559506547470337/YasAHskE_normal.jpg","Edward Franklin","3657678443","EdwardF128","101","0","1298728989796827137","Wed Aug 26 21:15:14 +0000 2020","Shame",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1298730748397191173","en","4",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Shame",
"false","false","🌺Wife, Mom, comfortable in the dark. Motivational procrastinator. I've had all my shots. Coffee enthusiast. Nasty Women and Host body to 4❤ 🚫Bitcoin","https://pbs.twimg.com/profile_images/1396323632628961280/6lLBlMu0_normal.jpg","Theodora","1058422416651706370","Theodora376","360","0","1298728989796827137","Thu Aug 27 00:58:44 +0000 2020","Absolutely zero confidence in the CDC now. Enough with the political games.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1298786995804635136","en","3",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Absolutely zero confidence in the CDC now. Enough with the political games.",
"false","false","","https://pbs.twimg.com/profile_images/1299731275406888964/2QEJ9noC_normal.jpg","Kris_Jones","758338813970317312","heavy_pastry","112","0","1298728989796827137","Wed Aug 26 22:19:53 +0000 2020","Great time to cut back on testing and let the  immune compromised people just what continue to shelter in place , cause we are clearly going for herd immunity without a vaccine .... Great Job CDC  , FDA  What a Trump says he gets ....",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1298747020115664897","en","3",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Great time to cut back on testing and let the  immune compromised people just what continue to shelter in place , cause we are clearly going for herd immunity without a vaccine .... Great Job CDC  , FDA  What a Trump says he gets ....",
"false","false","Singer & loving restorer of Judy Garland's arrangements Youtube:https://t.co/3QTw8IohPr https://t.co/0D1nx7AnXi https://t.co/io1DBcyfMz","https://pbs.twimg.com/profile_images/1483919674131767300/Kbkh7Wmx_normal.jpg","Joan Ellison","92196446","joanellison","9595","0","1298728989796827137","Thu Aug 27 01:22:58 +0000 2020","Shame on you for going against the science on Covid-19 testing guidelines. You are endangering the lives of all of us. #cdc #betrayal2020","127","131","cdc","132","145","betrayal2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1298793093337100288","en","3",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Shame on you for going against the science on Covid-19 testing guidelines. You are endangering the lives of all of us. #cdc #betrayal2020",
