"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"false","false","Hawkeye Fan - world traveler - patriot  

I support co2, free speech, 2A rights, and humanity. I block all trolls and bots.","https://pbs.twimg.com/profile_images/1228161409948831744/TJP0CM26_normal.jpg","ニック","2885186350","HawkeyeNick1","279","0","1495115983865974796","Sat Feb 19 20:25:01 +0000 2022","",,,,,,,,,,,,,"pic.x.com/c0lV7yf06t","https://x.com/HawkeyeNick1/status/1495132335041298439/photo/1",,"Available","1495132327483215874","8","31","3_1495132327483215874","3_1495132327483215874","https://pbs.twimg.com/media/FL_G7ifXEAI_OD2.jpg","381","680","0","0","680","680","0","0","680","596","42","0","680","340","170","0","680","680","0","0","680","680","680","fit","680","680","fit","680","680","fit","680","150","crop","150","photo","https://t.co/c0lV7yf06t",,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1495132335041298439","qme","4","1495132327483215874","https://pbs.twimg.com/media/FL_G7ifXEAI_OD2.jpg",,,,,,,,,,,"India","IN","Mughalsarai, India","https://api.twitter.com/1.1/geo/id/1f54544d7dc1a3a4.json","Mughalsarai","city","0","0","0","active","@CDCgov https://t.co/c0lV7yf06t",
"false","false","Mommy to the most amazing girl in the world! No amount of security is worth giving up your freedom. Happily married, no DMs.","https://pbs.twimg.com/profile_images/1661791601121955840/dsZUMoto_normal.jpg","Jennifer Love","488206301","Jdnlov","886","0","1495115983865974796","Sat Feb 19 20:45:44 +0000 2022","🐑",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1495137547713871872","qme","5",,,,,,,,,,,,,"India","IN","Mughalsarai, India","https://api.twitter.com/1.1/geo/id/1f54544d7dc1a3a4.json","Mughalsarai","city","0","0","0","active","@CDCgov 🐑",
"false","true","Opinions mine. Applause & kitty kat kisses accepted.","https://pbs.twimg.com/profile_images/1325776093995995137/0DlaBPqa_normal.jpg","Cat Biancoli","2886455045","cat_biancoli","68","0","1495115983865974796","Sat Feb 19 20:13:51 +0000 2022","Why doesn’t the @CDCgov change the definition of FULLY VACCINATED to having 3 shots?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","146569971","24","31","CDC","CDCgov","1495129524085964805","en","4",,,,,,,,,,,,,"India","IN","Mughalsarai, India","https://api.twitter.com/1.1/geo/id/1f54544d7dc1a3a4.json","Mughalsarai","city","0","2","0","active","@CDCgov Why doesn’t the @CDCgov change the definition of FULLY VACCINATED to having 3 shots?",
"false","false","","https://pbs.twimg.com/profile_images/1271324494842347521/7zKy8Dk7_normal.jpg","Nutwrecker","4841197037","nutwrecker","5","0","1495115983865974796","Mon Feb 21 05:30:34 +0000 2022","i Haven’t had a single shot……..

sooo…

what now? Gonna condemn me?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1495632013822464001","en","2",,,,,,,,,,,,,"India","IN","Mughalsarai, India","https://api.twitter.com/1.1/geo/id/1f54544d7dc1a3a4.json","Mughalsarai","city","0","1","0","active","@CDCgov i Haven’t had a single shot……..

sooo…

what now? Gonna condemn me?",
"false","true","THE OFFICIAL DJ STARSHOOTER Instagram: amcheeseburger1997 YouTube: DJ STARSHOOTER XBoxs App: Anthony20025514","https://pbs.twimg.com/profile_images/1489153605168893953/mOKjQJaW_normal.jpg","DJ STARSHOOTER","1442388769399734277","amcheeseburger","25","0","1495115983865974796","Sat Feb 19 19:20:41 +0000 2022","Remember I already have been Vaccinated and Boosted the shots",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1495116144004382721","en","2",,,,,,,,,,,,,"India","IN","Mughalsarai, India","https://api.twitter.com/1.1/geo/id/1f54544d7dc1a3a4.json","Mughalsarai","city","0","2","0","active","@CDCgov Remember I already have been Vaccinated and Boosted the shots",
"false","false","","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Tom","552242598","thomasvay","54","0","1495115983865974796","Sun Feb 20 14:25:12 +0000 2022","Will the pharm companies make an actual vaccine? or will the @cdc just change the definition of ""vaccine""?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov","1532281","69","73","This is not the CDC","cdc","1495404172186771458","en","1",,,,,,,,,,,,,"India","IN","Mughalsarai, India","https://api.twitter.com/1.1/geo/id/1f54544d7dc1a3a4.json","Mughalsarai","city","0","1","0","active","@CDCgov Will the pharm companies make an actual vaccine? or will the @cdc just change the definition of ""vaccine""?",
"false","false","","https://pbs.twimg.com/profile_images/1447303860188557320/oSEYbucZ_normal.jpg","Anita Kelley","1447303796598706180","AnitaKe84217059","5","0","1495115983865974796","Sun Feb 20 13:18:13 +0000 2022","And then what? 6 months out since the booster so do we need another? Masks are coming off seems risky.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1495387315413581825","en","0",,,,,,,,,,,,,"India","IN","Mughalsarai, India","https://api.twitter.com/1.1/geo/id/1f54544d7dc1a3a4.json","Mughalsarai","city","0","1","0","active","@CDCgov And then what? 6 months out since the booster so do we need another? Masks are coming off seems risky.",
"true","false","Former SPED Educator. Head of International Football Operations @ninoprofootball Journalist @DraftDiamonds #MTXE #H2P #Yinzer","https://pbs.twimg.com/profile_images/1797015852501422084/JBQpz-nA_normal.jpg","Justin Aaron","1163461544165937154","JustinAaronUH91","5537","0","1495115983865974796","Sat Feb 19 19:26:39 +0000 2022","Yep have them all :)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1495117644898488330","en","0",,,,,,,,,,,,,"India","IN","Mughalsarai, India","https://api.twitter.com/1.1/geo/id/1f54544d7dc1a3a4.json","Mughalsarai","city","0","0","0","active","@CDCgov Yep have them all :)",
"false","false","See something? SAY SOMETHING! Call 911 and share what you know. This is a community profile used for the regular folks to share news and information.","https://pbs.twimg.com/profile_images/673229069249462272/m2opQDMr_normal.jpg","ORIC Ontario Resident Information Center","4386107656","OntarioAndTheIE","161","0","1495115983865974796","Sun Feb 20 15:54:43 +0000 2022","Why the CDC refuse to see the FLCCC studies of over 3000 front line doctors and scientists, even the inventor of mRNA, it’s all because they are in bed financially with all the pharma companies. Project Veritas has exposed you CDC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,"1495426700984786944","en","1",,,,,,,,,,,,,"India","IN","Mughalsarai, India","https://api.twitter.com/1.1/geo/id/1f54544d7dc1a3a4.json","Mughalsarai","city","1","1","0","active","@CDCgov Why the CDC refuse to see the FLCCC studies of over 3000 front line doctors and scientists, even the inventor of mRNA, it’s all because they are in bed financially with all the pharma companies. Project Veritas has exposed you CDC.",
"false","false","Certified BA","https://pbs.twimg.com/profile_images/449987780374822912/h34Lg91T_normal.jpeg","tonychains","2417673486","tonychains","80","0","1495115983865974796","Sun Feb 20 12:25:25 +0000 2022","https://t.co/QZquB9ubqB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rumble.com/vuqk1w-explosi…","https://rumble.com/vuqk1w-explosive-embalmer-reveals-93-of-cases-have-deadly-clots-caused-by-the-vax.html","8","31","https://t.co/QZquB9ubqB","146569971","0","7","CDC","CDCgov",,,,,,"1495374026331631619","qme","1",,,,,,,,,,,,,"India","IN","Mughalsarai, India","https://api.twitter.com/1.1/geo/id/1f54544d7dc1a3a4.json","Mughalsarai","city","0","1","0","active","@CDCgov https://t.co/QZquB9ubqB",
