"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/hashtags/4/indices/0","entities/hashtags/4/indices/1","entities/hashtags/4/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/urls/1/display_url","entities/urls/1/expanded_url","entities/urls/1/indices/0","entities/urls/1/indices/1","entities/urls/1/url","entities/urls/2/display_url","entities/urls/2/expanded_url","entities/urls/2/indices/0","entities/urls/2/indices/1","entities/urls/2/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","entities/user_mentions/3/id_str","entities/user_mentions/3/indices/0","entities/user_mentions/3/indices/1","entities/user_mentions/3/name","entities/user_mentions/3/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","place/country","place/country_code","place/full_name","place/more_data_url","place/name","place/place_type","quotes","replies","retweets","status","text","views"
"false","false","","https://pbs.twimg.com/profile_images/452451025362747392/aJ3o94do_normal.jpeg","Bessie","2428978640","besschu","3","0","1342532584123883520","Sat Dec 26 17:36:30 +0000 2020","Great reminder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342887021925212161","en","0",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Great reminder",
"false","true","“Treat the word impossible, as nothing more than motivation” “It’s the outsiders who change the world”","https://pbs.twimg.com/profile_images/1667577229671292928/QljBBjH5_normal.jpg","qbengrl","3178317787","qbengrl","391","0","1342532584123883520","Fri Dec 25 18:12:34 +0000 2020","So can the flu and a cold...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342533712743981058","en","14",,,,,,,,,,,,,,,,,,,"0","5","0","active","@CDCgov So can the flu and a cold...",
"false","true","Truly believe in making a difference for the good.","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Maria Mammarello","2809071719","lilmsmmm","10","0","1342532584123883520","Fri Dec 25 18:11:16 +0000 2020","Far too many are ignorant, refuse to follow simple rules. Those are the ones usually complaining and spreading the virus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342533382220238849","en","2",,,,,,,,,,,,,,,,,,,"0","2","0","active","@CDCgov Far too many are ignorant, refuse to follow simple rules. Those are the ones usually complaining and spreading the virus",
"false","false","","https://pbs.twimg.com/profile_images/1224535073690718209/jkTK5Bq1_normal.jpg","JMstrzel","1170315671802142721","JMstrzel","5","0","1342532584123883520","Sun Dec 27 00:15:43 +0000 2020","And if one person gets it in your house does not mean everyone will get it in your house.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342987489095639041","en","0",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov And if one person gets it in your house does not mean everyone will get it in your house.",
"false","true","Had to redo my account sick of this crap.","https://pbs.twimg.com/profile_images/1293459332458336256/JxWIW3CZ_normal.jpg","Anita","1293459068951068672","Anita48481025","11","0","1342532584123883520","Sat Dec 26 05:04:38 +0000 2020","Washed hands used masks stayed home when needed to and still my daughter got covid-19. How in the hell? We still got it in our lives.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342697807472435200","en","2",,,,,,,,,,,,,,,,,,,"0","1","0","active","@CDCgov Washed hands used masks stayed home when needed to and still my daughter got covid-19. How in the hell? We still got it in our lives.",
"false","false","","https://pbs.twimg.com/profile_images/774442068299091973/KsxGfeQG_normal.jpg","Djfresh","774438111090728961","dougiefresh813","7","0","1342532584123883520","Tue Dec 29 14:06:36 +0000 2020","I am not wearing a mask in my own home nor am I wearing a mask while I am out side walking and doing my excersize. This government is not going to run the rest of my life I will do what I want to do.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1343921362793070593","en","0",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov I am not wearing a mask in my own home nor am I wearing a mask while I am out side walking and doing my excersize. This government is not going to run the rest of my life I will do what I want to do.",
"false","false","It is The Lord who watchs over my way. In the path where I walk. Psalms 142:3. MAGA,conservative Christian.✝️🇺🇸🦅","https://pbs.twimg.com/profile_images/2012898044883173376/Hi4E8i-z_normal.jpg","WOJO.wojowniczka👑✝️🇺🇸","1708634905","2sweetmelissa73","44","0","1342532584123883520","Sun Dec 27 05:57:55 +0000 2020","Everyone knows this already!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1343073606516019201","en","2",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Everyone knows this already!",
"false","false","https://t.co/9yBFMNABYp One of a kind Card Game about Murder and deceit, Please get the Kickstarter Alert.","https://pbs.twimg.com/profile_images/789224965157433344/5Rqphrt6_normal.jpg","BloodMansion","789212353183125504","MAbloodmansion","68","0","1342532584123883520","Sat Dec 26 04:21:04 +0000 2020","Everyone is wearing a mask. Fine. But speaking with someone unknowingly presymptomaticly infected the mask does little unless you keep a 6 foot space along with wearing a mask.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342686844543062016","en","2",,,,,,,,,,,,,,,,,,,"0","2","0","active","@CDCgov Everyone is wearing a mask. Fine. But speaking with someone unknowingly presymptomaticly infected the mask does little unless you keep a 6 foot space along with wearing a mask.",
"false","true","WTF !","https://pbs.twimg.com/profile_images/1133782385038807041/umiQVwu-_normal.jpg","stinky toe","2432577583","JoeSand40063943","372","0","1342532584123883520","Sat Dec 26 14:35:45 +0000 2020","Covid19 lives in farts so be careful when standing behind someone in public you may be exposed to fecal Covid19.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342841537260994561","en","0",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov Covid19 lives in farts so be careful when standing behind someone in public you may be exposed to fecal Covid19.",
"false","true","WTF !","https://pbs.twimg.com/profile_images/1133782385038807041/umiQVwu-_normal.jpg","stinky toe","2432577583","JoeSand40063943","372","0","1342532584123883520","Sat Dec 26 14:33:48 +0000 2020","&amp; don't forget to use a glory hole if you decide to get intimate with something  !",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,,,,,,"1342841045277536256","en","0",,,,,,,,,,,,,,,,,,,"0","0","0","active","@CDCgov &amp; don't forget to use a glory hole if you decide to get intimate with something  !",
